,,,openInterest,openInterest,volume,volume
optionType,,,calls,puts,calls,puts
symbol,strike,expiration,,,,
DIS,115.0,2025-01-17,3334.0,111.0,1163.0,2.0
DIS,115.0,2025-06-20,3150.0,0.0,4.0,2.0
DIS,115.0,2025-12-19,777.0,119.0,1.0,5.0
DIS,115.0,2026-01-16,1269.0,56.0,1.0,2.0
DIS,120.0,2024-01-26,13.0,0.0,4.0,1.0
DIS,120.0,2024-02-02,3.0,0.0,1.0,1.0
DIS,120.0,2024-02-09,38.0,,30.0,
DIS,120.0,2024-02-16,3463.0,0.0,23.0,1.0
DIS,120.0,2024-02-23,2.0,,0.0,
DIS,120.0,2024-03-01,1.0,,0.0,
DIS,120.0,2024-03-15,5734.0,0.0,7.0,6.0
DIS,120.0,2024-04-19,4223.0,1.0,4.0,1.0
DIS,120.0,2024-06-21,10128.0,1.0,176.0,1.0
DIS,120.0,2024-07-19,248.0,1.0,1.0,0.0
DIS,120.0,2024-09-20,4995.0,0.0,38.0,1.0
DIS,120.0,2025-01-17,7647.0,74.0,103.0,10.0
DIS,120.0,2025-06-20,2226.0,489.0,45.0,2.0
DIS,120.0,2025-12-19,346.0,0.0,2.0,1.0
DIS,120.0,2026-01-16,1617.0,7.0,40.0,1.0
DIS,125.0,2024-02-16,89.0,0.0,2.0,3.0
DIS,125.0,2024-03-15,1809.0,0.0,4.0,4.0
DIS,125.0,2024-04-19,373.0,0.0,12.0,4.0
DIS,125.0,2024-06-21,9958.0,0.0,64.0,4.0
DIS,125.0,2024-07-19,296.0,0.0,27.0,4.0
DIS,125.0,2024-09-20,4189.0,0.0,14.0,9.0
DIS,125.0,2025-01-17,7007.0,183.0,46.0,2.0
DIS,125.0,2025-06-20,1589.0,1.0,541.0,2.0
DIS,125.0,2025-12-19,497.0,10.0,1.0,4.0
DIS,125.0,2026-01-16,1002.0,1.0,3.0,1.0
DIS,130.0,2024-02-16,38.0,,1.0,
DIS,130.0,2024-03-15,2016.0,,2.0,
DIS,130.0,2024-04-19,3595.0,0.0,157.0,4.0
DIS,130.0,2024-06-21,3767.0,3.0,6.0,3.0
DIS,130.0,2024-07-19,66.0,0.0,1.0,0.0
DIS,130.0,2024-09-20,345.0,,254.0,
DIS,130.0,2025-01-17,15582.0,18.0,232.0,82.0
DIS,130.0,2025-06-20,565.0,0.0,1.0,1.0
DIS,130.0,2025-12-19,542.0,0.0,1.0,2.0
DIS,130.0,2026-01-16,208.0,,2.0,
DIS,135.0,2024-02-16,98.0,0.0,8.0,1.0
DIS,135.0,2024-03-15,2982.0,0.0,20.0,0.0
DIS,135.0,2024-04-19,458.0,,1.0,
DIS,135.0,2024-06-21,2331.0,0.0,22.0,1.0
DIS,135.0,2024-07-19,169.0,0.0,100.0,1.0
DIS,135.0,2024-09-20,133.0,0.0,22.0,0.0
DIS,135.0,2025-01-17,5631.0,0.0,4.0,1.0
DIS,135.0,2025-06-20,702.0,0.0,2.0,2.0
DIS,135.0,2025-12-19,2543.0,0.0,2.0,1.0
DIS,135.0,2026-01-16,568.0,,5.0,
DIS,140.0,2024-02-16,95.0,0.0,1.0,0.0
DIS,140.0,2024-03-15,23.0,0.0,1.0,1.0
DIS,140.0,2024-04-19,314.0,,1.0,
DIS,140.0,2024-06-21,3583.0,0.0,13.0,1.0
DIS,140.0,2024-07-19,226.0,0.0,102.0,1.0
DIS,140.0,2024-09-20,438.0,0.0,3.0,0.0
DIS,140.0,2025-01-17,4784.0,0.0,18.0,20.0
DIS,140.0,2025-06-20,1011.0,0.0,260.0,120.0
DIS,140.0,2025-12-19,54.0,0.0,1.0,0.0
DIS,140.0,2026-01-16,664.0,0.0,8.0,1.0
DIS,145.0,2024-06-21,1205.0,0.0,3.0,1.0
DIS,145.0,2025-01-17,672.0,51.0,3.0,4.0
DIS,145.0,2025-06-20,831.0,0.0,1.0,1.0
DIS,150.0,2024-06-21,15534.0,0.0,6.0,1.0
DIS,150.0,2025-01-17,4912.0,0.0,221.0,4.0
DIS,150.0,2025-06-20,716.0,0.0,21.0,1.0
DIS,155.0,2024-06-21,1103.0,0.0,44.0,0.0
DIS,155.0,2025-01-17,6984.0,0.0,3.0,2.0
DIS,155.0,2025-06-20,505.0,0.0,1.0,3.0
DIS,160.0,2024-06-21,2446.0,0.0,14.0,7.0
DIS,160.0,2025-01-17,904.0,0.0,1.0,1.0
DIS,160.0,2025-06-20,440.0,0.0,7.0,25.0
DIS,165.0,2024-06-21,983.0,0.0,3.0,1.0
DIS,165.0,2025-01-17,520.0,0.0,2.0,2.0
DIS,165.0,2025-06-20,878.0,2.0,1.0,1.0
DIS,170.0,2024-06-21,5033.0,0.0,2.0,1.0
DIS,170.0,2025-01-17,1454.0,0.0,2.0,1.0
DIS,170.0,2025-06-20,2783.0,0.0,1221.0,25.0
DIS,175.0,2025-01-17,12188.0,2.0,44.0,1.0
EXPR,0.5,2025-01-17,0.0,0.0,30.0,30.0
EXPR,1.0,2024-04-19,0.0,,9.0,
EXPR,1.0,2025-01-17,0.0,0.0,68.0,12.0
EXPR,1.5,2025-01-17,0.0,11.0,1.0,8.0
EXPR,2.0,2025-01-17,0.0,0.0,1.0,9.0
EXPR,2.5,2025-01-17,43.0,,1.0,
EXPR,3.0,2025-01-17,143.0,2.0,1.0,0.0
EXPR,4.0,2025-01-17,20.0,,1.0,
EXPR,5.0,2025-01-17,0.0,,1.0,
FSR,0.5,2024-01-26,61.0,1238.0,52.0,113.0
FSR,0.5,2024-02-02,54.0,946.0,35.0,146.0
FSR,0.5,2024-02-09,72.0,622.0,16.0,151.0
FSR,0.5,2024-02-16,50.0,28423.0,46.0,98.0
FSR,0.5,2024-02-23,41.0,381.0,31.0,274.0
FSR,0.5,2024-03-01,18.0,323.0,15.0,150.0
FSR,0.5,2024-03-15,554.0,291.0,102.0,116.0
FSR,0.5,2024-04-19,330.0,2587.0,44.0,55.0
FSR,0.5,2024-05-17,446.0,2096.0,1.0,304.0
FSR,0.5,2024-08-16,50.0,333.0,4.0,406.0
FSR,0.5,2025-01-17,831.0,1599.0,258.0,14.0
FSR,0.5,2026-01-16,425.0,2337.0,10.0,97.0
FSR,0.5,2026-09-18,1606.0,2938.0,189.0,13.0
FSR,1.0,2024-01-26,8580.0,4478.0,2718.0,287.0
FSR,1.0,2024-02-02,2591.0,617.0,1072.0,152.0
FSR,1.0,2024-02-09,1763.0,672.0,288.0,12.0
FSR,1.0,2024-02-16,3934.0,22724.0,1436.0,1490.0
FSR,1.0,2024-02-23,735.0,522.0,229.0,2.0
FSR,1.0,2024-03-01,275.0,261.0,73.0,40.0
FSR,1.0,2024-03-15,3919.0,6565.0,883.0,479.0
FSR,1.0,2024-04-19,674.0,1434.0,203.0,98.0
FSR,1.0,2024-05-17,1502.0,2699.0,273.0,1.0
FSR,1.0,2024-08-16,454.0,217.0,268.0,502.0
FSR,1.0,2025-01-17,5593.0,2315.0,3239.0,35.0
FSR,1.0,2026-01-16,2551.0,1098.0,220.0,9.0
FSR,1.0,2026-09-18,1972.0,20427.0,86.0,15.0
FSR,1.5,2024-01-26,6488.0,3117.0,95.0,36.0
FSR,1.5,2024-02-02,3752.0,485.0,952.0,38.0
FSR,1.5,2024-02-09,1516.0,992.0,81.0,30.0
FSR,1.5,2024-02-16,4842.0,5467.0,916.0,52.0
FSR,1.5,2024-02-23,576.0,7676.0,16.0,41.0
FSR,1.5,2024-03-01,316.0,22.0,66.0,11.0
FSR,1.5,2024-03-15,6395.0,1140.0,429.0,367.0
FSR,1.5,2024-04-19,1355.0,453.0,146.0,8.0
FSR,1.5,2024-05-17,2337.0,3845.0,33.0,301.0
FSR,1.5,2024-08-16,1436.0,1007.0,70.0,3.0
FSR,1.5,2025-01-17,2735.0,3743.0,1074.0,10.0
FSR,1.5,2026-01-16,611.0,3070.0,111.0,31.0
FSR,1.5,2026-09-18,1572.0,400.0,13.0,13.0
FSR,2.0,2024-01-26,5467.0,395.0,5.0,97.0
FSR,2.0,2024-02-02,819.0,2409.0,42.0,4.0
FSR,2.0,2024-02-09,983.0,65.0,7.0,6.0
FSR,2.0,2024-02-16,36669.0,28936.0,110.0,4139.0
FSR,2.0,2024-02-23,407.0,50.0,131.0,10.0
FSR,2.0,2024-03-01,326.0,3.0,10.0,0.0
FSR,2.0,2024-03-15,7376.0,528.0,152.0,56.0
FSR,2.0,2024-04-19,2140.0,495.0,54.0,95.0
FSR,2.0,2024-05-17,6292.0,1786.0,55.0,1.0
FSR,2.0,2024-08-16,593.0,8.0,26.0,7.0
FSR,2.0,2025-01-17,4180.0,5797.0,76.0,9.0
FSR,2.0,2026-01-16,2645.0,1246.0,384.0,2.0
FSR,2.0,2026-09-18,1717.0,20667.0,9.0,5.0
FSR,2.5,2024-01-26,742.0,69.0,3.0,1.0
FSR,2.5,2024-02-02,194.0,10.0,1.0,10.0
FSR,2.5,2024-02-09,429.0,57.0,1.0,0.0
FSR,2.5,2024-02-16,2487.0,88.0,48.0,4.0
FSR,2.5,2024-02-23,367.0,6.0,100.0,0.0
FSR,2.5,2024-03-15,3330.0,69.0,21.0,1.0
FSR,2.5,2024-04-19,3101.0,931.0,400.0,500.0
FSR,2.5,2024-05-17,1100.0,183.0,133.0,52.0
FSR,2.5,2024-08-16,225.0,8.0,109.0,2.0
FSR,2.5,2025-01-17,1229.0,342.0,21.0,8.0
FSR,2.5,2026-01-16,445.0,12.0,57.0,1.0
FSR,2.5,2026-09-18,258.0,843.0,8.0,1.0
FSR,3.0,2024-01-26,444.0,3.0,21.0,1.0
FSR,3.0,2024-02-02,868.0,,279.0,
FSR,3.0,2024-02-09,4.0,,1.0,
FSR,3.0,2024-02-16,1038.0,876.0,57.0,1.0
FSR,3.0,2024-02-23,271.0,,100.0,
FSR,3.0,2024-03-15,5467.0,1623.0,146.0,10.0
FSR,3.0,2024-04-19,1443.0,470.0,9.0,6.0
FSR,3.0,2024-05-17,7105.0,6485.0,10.0,5.0
FSR,3.0,2024-08-16,243.0,22.0,10.0,17.0
FSR,3.0,2025-01-17,6868.0,34581.0,275.0,4.0
FSR,3.0,2026-01-16,2923.0,15894.0,148.0,10.0
FSR,3.0,2026-09-18,392.0,81.0,27.0,60.0
FSR,3.5,2024-02-16,832.0,320.0,91.0,13.0
FSR,3.5,2024-03-15,1262.0,96.0,25.0,71.0
FSR,3.5,2024-04-19,1570.0,138.0,150.0,10.0
FSR,3.5,2024-05-17,635.0,27.0,12.0,25.0
FSR,3.5,2025-01-17,452.0,88.0,11.0,20.0
FSR,3.5,2026-01-16,248.0,32.0,180.0,6.0
FSR,3.5,2026-09-18,207.0,,58.0,
FSR,4.0,2024-02-16,991.0,1825.0,1.0,1.0
FSR,4.0,2024-03-15,380.0,113.0,4.0,5.0
FSR,4.0,2024-04-19,1428.0,1159.0,2.0,4.0
FSR,4.0,2024-05-17,7908.0,8645.0,2.0,8.0
FSR,4.0,2025-01-17,1369.0,96.0,11.0,1.0
FSR,4.0,2026-01-16,873.0,212.0,7.0,200.0
FSR,4.0,2026-09-18,154.0,25.0,5.0,5.0
FSR,4.5,2024-02-16,985.0,3.0,450.0,1.0
FSR,4.5,2024-03-15,61.0,11.0,10.0,1.0
FSR,4.5,2024-04-19,246.0,33.0,80.0,10.0
FSR,4.5,2024-05-17,86.0,148.0,5.0,7.0
FSR,4.5,2025-01-17,216.0,28.0,1.0,20.0
FSR,4.5,2026-01-16,37.0,,18.0,
FSR,4.5,2026-09-18,22.0,51.0,1.0,20.0
FSR,5.0,2024-02-16,5472.0,413.0,101.0,1.0
FSR,5.0,2024-03-15,737.0,19.0,495.0,2.0
FSR,5.0,2024-04-19,9392.0,8470.0,46.0,1.0
FSR,5.0,2024-05-17,1247.0,1037.0,10.0,1.0
FSR,5.0,2025-01-17,15191.0,13323.0,13.0,16.0
FSR,5.0,2026-01-16,1989.0,651.0,11.0,1.0
FSR,5.0,2026-09-18,26.0,2188.0,2.0,600.0
FSR,5.5,2024-02-16,213.0,2.0,10.0,4.0
FSR,5.5,2024-04-19,162.0,21.0,30.0,0.0
FSR,5.5,2024-05-17,151.0,82.0,15.0,4.0
FSR,5.5,2025-01-17,288.0,35.0,27.0,8.0
FSR,5.5,2026-01-16,252.0,33.0,10.0,2.0
FSR,5.5,2026-09-18,219.0,20.0,24.0,10.0
FSR,6.0,2024-02-16,540.0,113.0,50.0,3.0
FSR,6.0,2024-04-19,1111.0,4679.0,2.0,1.0
FSR,6.0,2024-05-17,554.0,97.0,15.0,10.0
FSR,6.0,2024-08-16,3335.0,63.0,17.0,6.0
FSR,7.0,2024-02-16,1464.0,111.0,200.0,16.0
FSR,7.0,2024-04-19,1866.0,1374.0,9.0,3.0
FSR,7.0,2024-05-17,1304.0,81.0,15.0,21.0
FSR,7.0,2025-01-17,9287.0,6268.0,59.0,15.0
FSR,7.0,2026-01-16,971.0,311.0,121.0,4.0
FSR,7.0,2026-09-18,524.0,88.0,10.0,5.0
FSR,8.0,2024-02-16,3869.0,407.0,44.0,15.0
FSR,8.0,2024-04-19,857.0,115.0,35.0,43.0
FSR,8.0,2024-05-17,547.0,61.0,1.0,15.0
FSR,9.0,2024-02-16,1511.0,1.0,11.0,1.0
FSR,9.0,2024-04-19,500.0,245.0,30.0,1.0
FSR,9.0,2024-05-17,191.0,2.0,100.0,2.0
FSR,10.0,2024-02-16,4513.0,5.0,126.0,4.0
FSR,10.0,2024-04-19,1112.0,30.0,65.0,6.0
FSR,10.0,2024-05-17,166.0,13.0,1.0,4.0
FSR,10.0,2025-01-17,11283.0,5808.0,1.0,1.0
FSR,10.0,2026-01-16,1147.0,131.0,28.0,400.0
FSR,11.0,2024-02-16,304.0,6.0,4.0,0.0
FSR,11.0,2024-05-17,38.0,10.0,35.0,0.0
FSR,12.0,2024-02-16,0.0,,14.0,
FSR,12.0,2024-04-19,253.0,45.0,15.0,0.0
FSR,12.0,2024-05-17,727.0,,12.0,
FSR,12.0,2025-01-17,4240.0,260.0,141.0,5.0
FSR,12.0,2026-01-16,365.0,63.0,27.0,30.0
FSR,13.0,2024-02-16,187.0,1.0,1.0,1.0
FSR,13.0,2024-05-17,514.0,4.0,10.0,0.0
FSR,15.0,2025-01-17,5644.0,120.0,29.0,3.0
FSR,17.0,2025-01-17,9562.0,111.0,1960.0,11.0
GM,15.0,2024-03-15,1134.0,403.0,1.0,10.0
GM,15.0,2024-06-21,15.0,274.0,5.0,20.0
GM,15.0,2024-09-20,814.0,589.0,1.0,140.0
GM,15.0,2025-01-17,180.0,1616.0,1.0,100.0
GM,15.0,2025-06-20,62.0,83.0,4.0,15.0
GM,15.0,2026-01-16,103.0,468.0,3.0,1.0
GM,15.0,2026-06-18,,2.0,,1.0
GM,15.0,2026-12-18,1.0,3.0,0.0,2.0
GM,16.0,2024-08-16,,1.0,,1.0
GM,17.0,2024-08-16,,1.0,,1.0
GM,18.0,2024-06-21,,2064.0,,26.0
GM,18.0,2024-10-18,7.0,14.0,6.0,1.0
GM,18.0,2026-01-16,56.0,604.0,50.0,5.0
GM,18.0,2026-06-18,,1.0,,1.0
GM,19.0,2024-06-21,0.0,391.0,0.0,5.0
GM,19.0,2024-08-16,,100.0,,200.0
GM,20.0,2024-02-09,5.0,,0.0,
GM,20.0,2024-02-16,5.0,,1.0,
GM,20.0,2024-03-15,2126.0,7299.0,2.0,1.0
GM,20.0,2024-05-17,,100.0,,204.0
GM,20.0,2024-06-21,358.0,5217.0,5.0,40.0
GM,20.0,2024-09-20,162.0,4724.0,10.0,10.0
GM,20.0,2024-10-18,,10.0,,10.0
GM,20.0,2025-01-17,572.0,6527.0,5.0,1.0
GM,20.0,2025-06-20,361.0,1830.0,4.0,2.0
GM,20.0,2026-01-16,296.0,282.0,2.0,1.0
GM,20.0,2026-12-18,1.0,,1.0,
GM,21.0,2024-04-19,,0.0,,0.0
GM,21.0,2024-05-17,,250.0,,200.0
GM,21.0,2024-06-21,424.0,781.0,10.0,5.0
GM,21.0,2024-08-16,,100.0,,200.0
GM,22.0,2024-05-17,,180.0,,200.0
GM,22.0,2024-06-21,687.0,635.0,2.0,2.0
GM,22.0,2024-09-20,,2.0,,2.0
GM,23.0,2024-02-16,,1.0,,1.0
GM,23.0,2024-03-15,2597.0,17709.0,1.0,3.0
GM,23.0,2024-04-19,,100.0,,200.0
GM,23.0,2024-05-17,,200.0,,200.0
GM,23.0,2024-06-21,495.0,8980.0,2.0,70.0
GM,23.0,2024-08-16,,40.0,,0.0
GM,23.0,2024-09-20,1079.0,3542.0,5.0,3.0
GM,23.0,2024-10-18,,13.0,,1.0
GM,23.0,2024-12-20,1.0,,1.0,
GM,23.0,2025-06-20,300.0,859.0,6.0,105.0
GM,23.0,2026-01-16,35.0,166.0,2.0,2.0
GM,23.0,2026-06-18,,2.0,,2.0
GM,24.0,2024-02-16,,2.0,,2.0
GM,24.0,2024-03-15,2547.0,11205.0,1.0,2.0
GM,24.0,2024-04-19,,100.0,,200.0
GM,24.0,2024-05-17,,100.0,,200.0
GM,24.0,2024-06-21,215.0,1174.0,2.0,2.0
GM,24.0,2024-08-16,,18.0,,20.0
GM,25.0,2024-01-26,20.0,,12.0,
GM,25.0,2024-02-02,8.0,,7.0,
GM,25.0,2024-02-09,4.0,,3.0,
GM,25.0,2024-02-16,16.0,61.0,6.0,22.0
GM,25.0,2024-03-15,2164.0,6164.0,1.0,83.0
GM,25.0,2024-04-19,,100.0,,200.0
GM,25.0,2024-05-17,,2.0,,2.0
GM,25.0,2024-06-21,584.0,9434.0,10.0,9.0
GM,25.0,2024-08-16,10.0,37.0,10.0,4.0
GM,25.0,2024-09-20,2568.0,3648.0,10.0,55.0
GM,25.0,2024-10-18,6.0,99.0,5.0,3.0
GM,25.0,2025-01-17,4828.0,22237.0,32.0,6.0
GM,25.0,2025-06-20,649.0,3112.0,30.0,121.0
GM,25.0,2026-01-16,1224.0,3707.0,5.0,1.0
GM,25.0,2026-12-18,3.0,14.0,3.0,10.0
GM,26.0,2024-01-26,28.0,,17.0,
GM,26.0,2024-02-02,,30.0,,30.0
GM,26.0,2024-02-09,,100.0,,0.0
GM,26.0,2024-02-16,9.0,20.0,1.0,0.0
GM,26.0,2024-03-01,,14.0,,14.0
GM,26.0,2024-03-15,2023.0,2898.0,1.0,3.0
GM,26.0,2024-05-17,5.0,10.0,0.0,0.0
GM,26.0,2024-06-21,201.0,2209.0,1.0,3.0
GM,26.0,2024-08-16,1.0,23.0,0.0,5.0
GM,27.0,2024-01-26,2.0,14.0,2.0,2.0
GM,27.0,2024-02-02,1.0,150.0,2.0,19.0
GM,27.0,2024-02-09,1.0,3.0,1.0,0.0
GM,27.0,2024-02-16,2.0,292.0,1.0,36.0
GM,27.0,2024-03-15,6783.0,4721.0,2500.0,20.0
GM,27.0,2024-04-19,,70.0,,3.0
GM,27.0,2024-05-17,4.0,29.0,0.0,27.0
GM,27.0,2024-06-21,209.0,4334.0,1.0,1.0
GM,27.0,2024-08-16,5.0,32.0,5.0,5.0
GM,27.0,2024-09-20,,4.0,,4.0
GM,28.0,2024-01-26,,4.0,,1.0
GM,28.0,2024-02-02,,161.0,,7.0
GM,28.0,2024-02-09,3.0,1529.0,3.0,19.0
GM,28.0,2024-02-16,40.0,886.0,1.0,652.0
GM,28.0,2024-02-23,1.0,11.0,2.0,11.0
GM,28.0,2024-03-01,,1.0,,0.0
GM,28.0,2024-03-15,4960.0,10891.0,7.0,1.0
GM,28.0,2024-04-19,1.0,195.0,0.0,250.0
GM,28.0,2024-05-17,,2.0,,1.0
GM,28.0,2024-06-21,2593.0,18608.0,10.0,30.0
GM,28.0,2024-08-16,0.0,959.0,2.0,10.0
GM,28.0,2024-09-20,1599.0,33208.0,1.0,15051.0
GM,28.0,2024-10-18,122.0,149.0,1.0,2.0
GM,28.0,2025-01-17,1911.0,9567.0,3.0,1.0
GM,28.0,2025-06-20,1347.0,4657.0,1.0,1500.0
GM,28.0,2026-01-16,333.0,1167.0,2.0,1.0
GM,28.0,2026-12-18,,11.0,,0.0
GM,29.0,2024-01-26,7.0,63.0,1.0,14.0
GM,29.0,2024-02-02,1.0,1612.0,0.0,12.0
GM,29.0,2024-02-09,0.0,8.0,1.0,5.0
GM,29.0,2024-02-16,29.0,140.0,12.0,20.0
GM,29.0,2024-02-23,1.0,111.0,0.0,111.0
GM,29.0,2024-03-01,,14.0,,14.0
GM,29.0,2024-03-15,3730.0,11381.0,4.0,1.0
GM,29.0,2024-04-19,1.0,15.0,0.0,0.0
GM,29.0,2024-05-17,,165.0,,0.0
GM,29.0,2024-06-21,16304.0,8839.0,6.0,2.0
GM,29.0,2024-08-16,206.0,96.0,0.0,2.0
GM,29.0,2024-09-20,,10.0,,10.0
GM,30.0,2024-01-26,275.0,663.0,100.0,76.0
GM,30.0,2024-02-02,29.0,35.0,20.0,41.0
GM,30.0,2024-02-09,13.0,21.0,3.0,7.0
GM,30.0,2024-02-16,182.0,2674.0,46.0,64.0
GM,30.0,2024-02-23,,6.0,,4.0
GM,30.0,2024-03-01,,25.0,,4.0
GM,30.0,2024-03-15,5965.0,14304.0,5.0,6.0
GM,30.0,2024-04-19,88.0,18.0,67.0,4.0
GM,30.0,2024-05-17,2.0,5.0,2.0,2.0
GM,30.0,2024-06-21,3622.0,31783.0,2.0,686.0
GM,30.0,2024-08-16,153.0,367.0,50.0,4.0
GM,30.0,2024-09-20,4782.0,32022.0,1.0,8502.0
GM,30.0,2024-10-18,429.0,527.0,38.0,1.0
GM,30.0,2024-12-20,127.0,6.0,136.0,0.0
GM,30.0,2025-01-17,4822.0,28837.0,17.0,5.0
GM,30.0,2025-06-20,1574.0,4957.0,23.0,10.0
GM,30.0,2026-01-16,774.0,3856.0,8.0,165.0
GM,30.5,2024-01-26,7.0,248.0,7.0,4.0
GM,30.5,2024-02-02,6.0,1510.0,1.0,10.0
GM,31.0,2024-01-26,61.0,368.0,21.0,101.0
GM,31.0,2024-02-02,18.0,56.0,1.0,1.0
GM,31.0,2024-02-09,2.0,192.0,1.0,160.0
GM,31.0,2024-02-16,1993.0,647.0,598.0,63.0
GM,31.0,2024-02-23,6.0,79.0,1.0,19.0
GM,31.0,2024-03-01,,236.0,,220.0
GM,31.0,2024-03-15,5251.0,6965.0,7.0,122.0
GM,31.0,2024-04-19,14.0,244.0,5.0,2.0
GM,31.0,2024-05-17,1.0,26.0,0.0,6.0
GM,31.0,2024-06-21,2196.0,9506.0,1.0,16.0
GM,31.0,2024-08-16,29.0,244.0,4.0,17.0
GM,31.5,2024-01-26,4.0,26.0,1.0,21.0
GM,31.5,2024-02-02,18.0,4.0,16.0,1.0
GM,32.0,2024-01-26,75.0,204.0,42.0,53.0
GM,32.0,2024-02-02,6.0,164.0,2.0,66.0
GM,32.0,2024-02-09,4.0,169.0,1.0,7.0
GM,32.0,2024-02-16,230.0,2901.0,13.0,26.0
GM,32.0,2024-02-23,1.0,109.0,1.0,2.0
GM,32.0,2024-03-01,1.0,67.0,0.0,2.0
GM,32.0,2024-03-15,2920.0,4368.0,13.0,27.0
GM,32.0,2024-04-19,12.0,87.0,9.0,12.0
GM,32.0,2024-05-17,12.0,20.0,11.0,0.0
GM,32.0,2024-06-21,6009.0,10931.0,2.0,38.0
GM,32.0,2024-08-16,57.0,110.0,1.0,1.0
GM,32.0,2024-09-20,,1.0,,1.0
GM,32.0,2024-10-18,61.0,816.0,52.0,184.0
GM,32.0,2025-06-20,570.0,1902.0,2.0,1.0
GM,32.0,2026-01-16,4672.0,4737.0,1.0,2.0
GM,32.5,2024-01-26,0.0,34.0,2.0,18.0
GM,32.5,2024-02-02,8.0,141.0,1.0,52.0
GM,33.0,2024-01-26,108.0,4181.0,7.0,371.0
GM,33.0,2024-02-02,38.0,402.0,3.0,325.0
GM,33.0,2024-02-09,30.0,292.0,19.0,8.0
GM,33.0,2024-02-16,1302.0,1662.0,31.0,52.0
GM,33.0,2024-02-23,26.0,24.0,0.0,7.0
GM,33.0,2024-03-01,,7.0,,4.0
GM,33.0,2024-03-15,4734.0,10790.0,26.0,280.0
GM,33.0,2024-04-19,36.0,344.0,9.0,10.0
GM,33.0,2024-05-17,51.0,23.0,21.0,0.0
GM,33.0,2024-06-21,4668.0,9943.0,2.0,1.0
GM,33.0,2024-08-16,120.0,173.0,1.0,1.0
GM,33.0,2024-09-20,4271.0,15015.0,100.0,1151.0
GM,33.0,2024-12-20,13.0,16.0,2.0,5.0
GM,33.0,2025-01-17,14098.0,26085.0,112.0,15.0
GM,33.0,2026-12-18,1.0,4.0,1.0,1.0
GM,33.5,2024-01-26,33.0,534.0,4.0,479.0
GM,33.5,2024-02-02,13.0,18.0,12.0,7.0
GM,34.0,2024-01-26,636.0,1270.0,285.0,991.0
GM,34.0,2024-02-02,184.0,537.0,93.0,90.0
GM,34.0,2024-02-09,18.0,305.0,1.0,29.0
GM,34.0,2024-02-16,4478.0,10137.0,177.0,2707.0
GM,34.0,2024-02-23,5.0,158.0,4.0,9.0
GM,34.0,2024-03-01,15.0,250.0,13.0,19.0
GM,34.0,2024-03-15,15309.0,6272.0,20.0,241.0
GM,34.0,2024-04-19,79.0,74.0,3.0,21.0
GM,34.0,2024-05-17,22.0,103.0,3.0,1.0
GM,34.0,2024-06-21,2919.0,2009.0,50.0,354.0
GM,34.0,2024-08-16,78.0,245.0,1.0,2.0
GM,34.0,2024-09-20,,1.0,,1.0
GM,34.5,2024-01-26,1367.0,1621.0,1532.0,999.0
GM,34.5,2024-02-02,132.0,61.0,3.0,12.0
GM,35.0,2024-01-26,1168.0,1859.0,456.0,828.0
GM,35.0,2024-02-02,655.0,2598.0,509.0,888.0
GM,35.0,2024-02-09,37.0,113.0,25.0,4.0
GM,35.0,2024-02-16,6762.0,4756.0,225.0,1658.0
GM,35.0,2024-02-23,49.0,59.0,8.0,6.0
GM,35.0,2024-03-01,52.0,172.0,12.0,10.0
GM,35.0,2024-03-15,5064.0,8690.0,193.0,901.0
GM,35.0,2024-04-19,177.0,305.0,5.0,2.0
GM,35.0,2024-05-17,415.0,47.0,40.0,5.0
GM,35.0,2024-06-21,4332.0,13642.0,60.0,1355.0
GM,35.0,2024-08-16,177.0,107.0,1.0,1.0
GM,35.0,2024-09-20,11094.0,5635.0,10.0,19.0
GM,35.0,2024-10-18,307.0,1025.0,11.0,34.0
GM,35.0,2024-12-20,302.0,1.0,1.0,1.0
GM,35.0,2025-01-17,14390.0,15052.0,50.0,6.0
GM,35.0,2025-06-20,1667.0,3141.0,100.0,1.0
GM,35.0,2026-01-16,359.0,1490.0,2.0,2.0
GM,35.0,2026-06-18,4.0,3.0,8.0,0.0
GM,35.0,2026-12-18,2.0,1.0,1.0,0.0
GM,35.5,2024-01-26,10291.0,1938.0,9238.0,335.0
GM,35.5,2024-02-02,1614.0,1103.0,1605.0,1096.0
GM,36.0,2024-01-26,6346.0,764.0,7124.0,115.0
GM,36.0,2024-02-02,2023.0,442.0,67.0,68.0
GM,36.0,2024-02-09,199.0,375.0,167.0,11.0
GM,36.0,2024-02-16,6748.0,5411.0,1143.0,1701.0
GM,36.0,2024-02-23,62.0,265.0,11.0,4.0
GM,36.0,2024-03-01,17.0,187.0,4.0,117.0
GM,36.0,2024-03-15,11140.0,10978.0,661.0,563.0
GM,36.0,2024-04-19,62.0,70.0,18.0,1.0
GM,36.0,2024-05-17,18.0,193.0,1.0,6.0
GM,36.0,2024-06-21,7655.0,10798.0,7512.0,7506.0
GM,36.0,2024-08-16,276.0,125.0,2.0,10.0
GM,36.0,2024-09-20,4.0,,4.0,
GM,36.5,2024-01-26,3259.0,56.0,3106.0,28.0
GM,36.5,2024-02-02,140.0,59.0,127.0,51.0
GM,37.0,2024-01-26,500.0,217.0,156.0,5.0
GM,37.0,2024-02-02,3114.0,51.0,153.0,11.0
