,,,openInterest,openInterest,volume,volume
optionType,,,calls,puts,calls,puts
symbol,strike,expiration,,,,
AAPL,80.0,2024-09-20,175.0,867.0,1.0,1.0
AAPL,80.0,2024-12-20,784.0,1206.0,30.0,10.0
AAPL,80.0,2025-01-17,459.0,2042.0,2.0,2.0
AAPL,80.0,2025-06-20,296.0,861.0,6.0,5.0
AAPL,80.0,2025-09-19,,88.0,,1.0
AAPL,80.0,2025-12-19,64.0,691.0,103.0,5.0
AAPL,80.0,2026-01-16,230.0,89.0,14.0,1.0
AAPL,80.0,2026-06-18,100.0,,102.0,
AAPL,85.0,2024-01-26,,1.0,,0.0
AAPL,85.0,2024-02-16,11.0,109.0,1.0,1.0
AAPL,85.0,2024-03-15,269.0,812.0,39.0,3.0
AAPL,85.0,2024-04-19,419.0,1007.0,2.0,8.0
AAPL,85.0,2024-05-17,1.0,13.0,1.0,4.0
AAPL,85.0,2024-06-21,1038.0,1581.0,7.0,15.0
AAPL,85.0,2024-07-19,8.0,212.0,2.0,4.0
AAPL,85.0,2024-08-16,,11.0,,10.0
AAPL,85.0,2024-09-20,84.0,737.0,76.0,6.0
AAPL,85.0,2024-12-20,214.0,863.0,3.0,4.0
AAPL,85.0,2025-01-17,278.0,2551.0,234.0,6.0
AAPL,85.0,2025-06-20,204.0,2305.0,1.0,5.0
AAPL,85.0,2025-09-19,4.0,228.0,0.0,2.0
AAPL,85.0,2025-12-19,314.0,1292.0,1.0,1.0
AAPL,85.0,2026-01-16,156.0,112.0,2.0,5.0
AAPL,85.0,2026-06-18,1.0,302.0,1.0,0.0
AAPL,90.0,2024-01-26,0.0,,0.0,
AAPL,90.0,2024-02-02,1.0,1.0,0.0,0.0
AAPL,90.0,2024-02-16,15.0,574.0,1.0,1.0
AAPL,90.0,2024-03-15,475.0,1259.0,410.0,1.0
AAPL,90.0,2024-04-19,206.0,838.0,200.0,5.0
AAPL,90.0,2024-05-17,0.0,28.0,1.0,20.0
AAPL,90.0,2024-06-21,1203.0,2818.0,10.0,6.0
AAPL,90.0,2024-07-19,6.0,25.0,3.0,10.0
AAPL,90.0,2024-08-16,,7.0,,5.0
AAPL,90.0,2024-09-20,110.0,302.0,1.0,8.0
AAPL,90.0,2024-12-20,27.0,761.0,2.0,22.0
AAPL,90.0,2025-01-17,646.0,30476.0,1.0,25.0
AAPL,90.0,2025-06-20,391.0,303.0,2.0,2.0
AAPL,90.0,2025-09-19,1.0,323.0,1.0,1.0
AAPL,90.0,2025-12-19,251.0,2904.0,1.0,2.0
AAPL,90.0,2026-01-16,17.0,835.0,1.0,6.0
AAPL,90.0,2026-06-18,7.0,4.0,2.0,4.0
AAPL,95.0,2024-02-02,1.0,,0.0,
AAPL,95.0,2024-02-16,16.0,762.0,1.0,77.0
AAPL,95.0,2024-03-15,195.0,989.0,100.0,1.0
AAPL,95.0,2024-04-19,24.0,1060.0,10.0,6.0
AAPL,95.0,2024-05-17,2.0,276.0,0.0,321.0
AAPL,95.0,2024-06-21,2064.0,1787.0,1.0,13.0
AAPL,95.0,2024-07-19,6.0,23.0,2.0,8.0
AAPL,95.0,2024-08-16,,7.0,,5.0
AAPL,95.0,2024-09-20,80.0,650.0,2.0,5.0
AAPL,95.0,2024-12-20,136.0,561.0,2.0,6.0
AAPL,95.0,2025-01-17,2670.0,5624.0,12.0,5.0
AAPL,95.0,2025-06-20,3810.0,753.0,2.0,1.0
AAPL,95.0,2025-09-19,4.0,21.0,6.0,2.0
AAPL,95.0,2025-12-19,76.0,503.0,8.0,2.0
AAPL,95.0,2026-01-16,52.0,100.0,3.0,10.0
AAPL,95.0,2026-06-18,,9.0,,8.0
AAPL,100.0,2024-01-26,7.0,,7.0,
AAPL,100.0,2024-02-02,,1.0,,0.0
AAPL,100.0,2024-02-09,3.0,82.0,2.0,20.0
AAPL,100.0,2024-02-16,25.0,2480.0,1.0,1.0
AAPL,100.0,2024-02-23,,13.0,,1.0
AAPL,100.0,2024-03-01,,2.0,,0.0
AAPL,100.0,2024-03-15,363.0,2707.0,2.0,10.0
AAPL,100.0,2024-04-19,44.0,403.0,1.0,10.0
AAPL,100.0,2024-05-17,5.0,373.0,1.0,320.0
AAPL,100.0,2024-06-21,5909.0,4866.0,10.0,6.0
AAPL,100.0,2024-07-19,128.0,2004.0,24.0,7.0
AAPL,100.0,2024-08-16,5.0,320.0,1.0,4.0
AAPL,100.0,2024-09-20,2053.0,2111.0,31.0,10.0
AAPL,100.0,2024-12-20,18.0,959.0,1.0,8.0
AAPL,100.0,2025-01-17,5779.0,18683.0,127.0,3.0
AAPL,100.0,2025-06-20,251.0,1892.0,7.0,11.0
AAPL,100.0,2025-09-19,0.0,64.0,0.0,2.0
AAPL,100.0,2025-12-19,1762.0,826.0,4.0,1.0
AAPL,100.0,2026-01-16,224.0,745.0,2.0,13.0
AAPL,100.0,2026-06-18,21.0,46.0,3.0,12.0
AAPL,105.0,2024-02-02,,18.0,,2.0
AAPL,105.0,2024-02-09,,6.0,,0.0
AAPL,105.0,2024-02-16,12.0,1550.0,6.0,132.0
AAPL,105.0,2024-02-23,,13.0,,10.0
AAPL,105.0,2024-03-01,,1.0,,0.0
AAPL,105.0,2024-03-15,378.0,3777.0,1.0,713.0
AAPL,105.0,2024-04-19,45.0,1812.0,14.0,3.0
AAPL,105.0,2024-05-17,1.0,22.0,0.0,16.0
AAPL,105.0,2024-06-21,589.0,2095.0,1.0,68.0
AAPL,105.0,2024-07-19,,15.0,,6.0
AAPL,105.0,2024-08-16,1.0,10.0,1.0,3.0
AAPL,105.0,2024-09-20,831.0,1642.0,1.0,18.0
AAPL,105.0,2024-12-20,106.0,392.0,28.0,1.0
AAPL,105.0,2025-01-17,753.0,21689.0,2.0,53.0
AAPL,105.0,2025-06-20,376.0,2238.0,8.0,3.0
AAPL,105.0,2025-09-19,,42.0,,1.0
AAPL,105.0,2025-12-19,177.0,111.0,1.0,6.0
AAPL,105.0,2026-01-16,56.0,95.0,11.0,1.0
AAPL,105.0,2026-06-18,5.0,,2.0,
AAPL,110.0,2024-01-26,1.0,101.0,0.0,0.0
AAPL,110.0,2024-02-02,60.0,1692.0,60.0,1671.0
AAPL,110.0,2024-02-09,,14.0,,6.0
AAPL,110.0,2024-02-16,472.0,2071.0,8.0,152.0
AAPL,110.0,2024-02-23,,251.0,,150.0
AAPL,110.0,2024-03-01,,6.0,,4.0
AAPL,110.0,2024-03-15,2928.0,5285.0,8.0,10.0
AAPL,110.0,2024-04-19,30.0,505.0,1.0,24.0
AAPL,110.0,2024-05-17,51.0,19.0,1.0,2.0
AAPL,110.0,2024-06-21,3386.0,5472.0,50.0,2.0
AAPL,110.0,2024-07-19,21.0,49.0,2.0,6.0
AAPL,110.0,2024-08-16,,38.0,,4.0
AAPL,110.0,2024-09-20,320.0,2190.0,3.0,14.0
AAPL,110.0,2024-12-20,304.0,727.0,10.0,55.0
AAPL,110.0,2025-01-17,1233.0,6999.0,1.0,14.0
AAPL,110.0,2025-06-20,274.0,1511.0,2.0,5.0
AAPL,110.0,2025-09-19,1.0,179.0,1.0,4.0
AAPL,110.0,2025-12-19,528.0,499.0,1.0,6.0
AAPL,110.0,2026-01-16,90.0,180.0,8.0,1.0
AAPL,110.0,2026-06-18,50.0,225.0,2.0,1.0
AAPL,115.0,2024-01-26,,121.0,,1.0
AAPL,115.0,2024-02-02,,94.0,,75.0
AAPL,115.0,2024-02-09,,16.0,,7.0
AAPL,115.0,2024-02-16,15.0,2385.0,5.0,1.0
AAPL,115.0,2024-02-23,,30.0,,1.0
AAPL,115.0,2024-03-01,,10.0,,0.0
AAPL,115.0,2024-03-15,699.0,2598.0,1.0,46.0
AAPL,115.0,2024-04-19,400.0,722.0,1.0,249.0
AAPL,115.0,2024-05-17,1.0,53.0,1.0,1.0
AAPL,115.0,2024-06-21,1650.0,4785.0,8.0,17.0
AAPL,115.0,2024-07-19,40.0,158.0,0.0,4.0
AAPL,115.0,2024-08-16,,17.0,,10.0
AAPL,115.0,2024-09-20,414.0,6822.0,5.0,86.0
AAPL,115.0,2024-12-20,832.0,1453.0,4.0,1.0
AAPL,115.0,2025-01-17,1156.0,5388.0,1.0,4.0
AAPL,115.0,2025-06-20,554.0,2064.0,50.0,3.0
AAPL,115.0,2025-09-19,3.0,269.0,2.0,5.0
AAPL,115.0,2025-12-19,324.0,601.0,1.0,1.0
AAPL,115.0,2026-01-16,130.0,387.0,4.0,1.0
AAPL,115.0,2026-06-18,39.0,43.0,1.0,2.0
AAPL,120.0,2024-01-26,,65.0,,1.0
AAPL,120.0,2024-02-02,,207.0,,86.0
AAPL,120.0,2024-02-09,1.0,17.0,1.0,1.0
AAPL,120.0,2024-02-16,211.0,2760.0,3.0,10.0
AAPL,120.0,2024-02-23,1.0,223.0,1.0,113.0
AAPL,120.0,2024-03-01,,10.0,,0.0
AAPL,120.0,2024-03-15,2197.0,4463.0,1.0,5.0
AAPL,120.0,2024-04-19,343.0,901.0,1.0,6.0
AAPL,120.0,2024-05-17,23.0,380.0,1.0,183.0
AAPL,120.0,2024-06-21,13344.0,10087.0,11.0,15.0
AAPL,120.0,2024-07-19,5.0,183.0,5.0,11.0
AAPL,120.0,2024-08-16,,47.0,,17.0
AAPL,120.0,2024-09-20,456.0,3198.0,2.0,1.0
AAPL,120.0,2024-12-20,132.0,862.0,4.0,19.0
AAPL,120.0,2025-01-17,5237.0,5941.0,5.0,69.0
AAPL,120.0,2025-06-20,1440.0,1173.0,30.0,59.0
AAPL,120.0,2025-09-19,10.0,180.0,14.0,100.0
AAPL,120.0,2025-12-19,597.0,3961.0,3.0,11.0
AAPL,120.0,2026-01-16,202.0,571.0,3.0,3.0
AAPL,120.0,2026-06-18,109.0,30.0,5.0,20.0
AAPL,125.0,2024-01-26,3.0,169.0,2.0,121.0
AAPL,125.0,2024-02-02,40.0,27.0,40.0,8.0
AAPL,125.0,2024-02-09,2.0,203.0,0.0,267.0
AAPL,125.0,2024-02-16,96.0,2713.0,1.0,15.0
AAPL,125.0,2024-02-23,,175.0,,11.0
