symbol,expiration,optionType,contractSymbol,strike,currency,lastPrice,change,percentChange,volume,openInterest,bid,ask,contractSize,lastTradeDate,impliedVolatility,inTheMoney,break_even,futurePrice,return
RIVN,2024-01-26,calls,RIVN240126C00032000,32.0,USD,0.06,0.0,0.0,1.0,167,0.0,0.02,REGULAR,2024-01-08 18:08:20,4.062504921875,False,32.06,-2.0,-34.33
RIVN,2024-02-23,calls,RIVN240223C00031000,31.0,USD,0.03,0.0,0.0,200.0,103,0.0,0.07,REGULAR,2024-01-17 15:57:18,1.1875040625,False,31.03,-1.0,-34.33
FSR,2024-02-16,calls,FSR240216C00011000,11.0,USD,0.03,0.0,0.0,4.0,304,0.0,0.05,REGULAR,2024-01-18 18:21:35,5.312503359374999,False,11.03,-1.0,-34.33
RIVN,2025-01-17,calls,RIVN250117C00045000,45.0,USD,0.49,-0.050000012,-9.259261,1.0,1854,0.45,0.49,REGULAR,2024-01-25 15:05:01,0.7314479980468749,False,45.49,-15.0,-31.61
RIVN,2024-06-21,calls,RIVN240621C00035000,35.0,USD,0.18,0.0,0.0,144.0,5930,0.14,0.16,REGULAR,2024-01-24 20:46:53,0.752932158203125,False,35.18,-5.0,-28.78
FSR,2024-02-16,calls,FSR240216C00012000,12.0,USD,0.08,0.0,0.0,14.0,0,0.0,0.11,REGULAR,2023-10-27 15:18:57,6.187502265625,False,12.08,-2.0,-26.0
RIVN,2024-09-20,calls,RIVN240920C00037500,37.5,USD,0.34,-0.109999985,-24.44444,40.0,174,0.29,0.39,REGULAR,2024-01-23 16:20:30,0.737307314453125,False,37.84,-7.5,-23.06
FSR,2025-01-17,calls,FSR250117C00012000,12.0,USD,0.12,0.0,0.0,3.0,4241,0.03,0.11,REGULAR,2024-01-23 17:39:07,1.6484392578125,False,12.12,-2.0,-17.67
RIVN,2025-01-17,calls,RIVN250117C00042500,42.5,USD,0.75,0.0,0.0,27.0,1557,0.51,0.56,REGULAR,2024-01-23 20:51:49,0.727541787109375,False,43.25,-12.5,-17.67
RIVN,2025-01-17,calls,RIVN250117C00040000,40.0,USD,0.62,-0.07999998,-11.428569,55.0,3926,0.62,0.65,REGULAR,2024-01-25 15:36:32,0.7299831689453125,False,40.62,-10.0,-17.13
RIVN,2024-10-18,calls,RIVN241018C00037500,37.5,USD,0.5,0.0,0.0,1.0,163,0.35,0.42,REGULAR,2024-01-24 15:02:33,0.7172879833984375,False,38.0,-7.5,-16.0
RIVN,2024-06-21,calls,RIVN240621C00032500,32.5,USD,0.21,-0.049999997,-19.230768,10.0,3608,0.19,0.21,REGULAR,2024-01-24 20:58:21,0.74414318359375,False,32.71,-2.5,-12.9
RIVN,2024-09-20,calls,RIVN240920C00035000,35.0,USD,0.48,0.0,0.0,3.0,871,0.37,0.52,REGULAR,2024-01-24 20:15:04,0.74414318359375,False,35.48,-5.0,-11.42
FSR,2024-05-17,calls,FSR240517C00011000,11.0,USD,0.1,0.0,0.0,35.0,38,0.0,0.05,REGULAR,2023-12-28 20:54:25,2.3750040624999995,False,11.1,-1.0,-11.0
RIVN,2025-01-17,calls,RIVN250117C00037500,37.5,USD,0.75,-0.120000005,-13.793103,3.0,588,0.7,0.79,REGULAR,2024-01-25 15:22:07,0.729494892578125,False,38.25,-7.5,-11.0
RIVN,2024-10-18,calls,RIVN241018C00035000,35.0,USD,0.55,-0.07999998,-12.69841,1.0,103,0.44,0.66,REGULAR,2024-01-25 15:03:11,0.7421900781249999,False,35.55,-5.0,-10.09
FSR,2026-01-16,calls,FSR260116C00012000,12.0,USD,0.25,0.0,0.0,100.0,465,0.1,1.0,REGULAR,2024-01-23 19:32:38,2.47656630859375,False,12.25,-2.0,-9.0
RIVN,2025-01-17,calls,RIVN250117C00035000,35.0,USD,0.85,-0.14999998,-14.999998,19.0,4843,0.83,1.0,REGULAR,2024-01-25 15:46:25,0.7382838671874999,False,35.85,-5.0,-6.88
RIVN,2025-12-19,calls,RIVN251219C00040000,40.0,USD,1.77,-0.18000007,-9.230773,158.0,8205,1.72,1.83,REGULAR,2024-01-25 15:44:26,0.7128934960937501,False,41.77,-10.0,-6.65
