screen,symbol,averageAnalystRating,regularMarketPrice,customPriceAlertConfidence,fiftyTwoWeekRange,sharesOutstanding,fiftyTwoWeekLow,fiftyTwoWeekHigh,regularMarketVolume,averageDailyVolume10Day,averageDailyVolume3Month,marketCap,bookValue,longName
advertising_agencies,OMC,2.4 - Buy,87.88,LOW,72.2 - 99.23,197934000.0,72.2,99.23,1578897.0,1573280.0,1289444.0,17406302208.0,16.312,Omnicom Group Inc.
advertising_agencies,IPG,2.4 - Buy,31.85,LOW,27.2 - 40.95,383004000.0,27.2,40.95,3318021.0,3488230.0,3474359.0,12198677504.0,9.609,"The Interpublic Group of Companies, Inc."
advertising_agencies,WPP,3.5 - Hold,46.06,LOW,41.13 - 64.07,214968000.0,41.13,64.07,190948.0,169130.0,154218.0,9915060224.0,3.395,WPP plc
advertising_agencies,ZD,2.3 - Buy,67.45,HIGH,57.97 - 94.06,45984800.0,57.97,94.06,547615.0,257050.0,282380.0,3101674496.0,39.233,"Ziff Davis, Inc."
advertising_agencies,IAS,1.8 - Buy,15.2,HIGH,9.564 - 20.875,158283008.0,9.564,20.875,907627.0,1042090.0,1061531.0,2405901568.0,5.575,Integral Ad Science Holding Corp.
advertising_agencies,CMPR,1.5 - Strong Buy,73.03,HIGH,26.52 - 83.36,26590000.0,26.52,83.36,70579.0,95230.0,107591.0,1941867648.0,-23.105,Cimpress plc
advertising_agencies,STGW,2.4 - Buy,6.63,HIGH,3.83 - 9.23,121432000.0,3.83,9.23,372394.0,455570.0,793998.0,1810526976.0,2.855,Stagwell Inc.
advertising_agencies,CRTO,2.4 - Buy,24.57,HIGH,22.1 - 36.76,56420400.0,22.1,36.76,120375.0,149270.0,318414.0,1386249216.0,17.869,Criteo S.A.
advertising_agencies,MGNI,2.1 - Buy,8.95,HIGH,6.28 - 15.73,137851008.0,6.28,15.73,829140.0,816170.0,1043834.0,1233766528.0,4.732,"Magnite, Inc."
advertising_agencies,DLX,2.5 - Buy,19.38,LOW,13.61 - 21.97,43692500.0,13.61,21.97,202045.0,183330.0,225280.0,846760640.0,13.707,Deluxe Corporation
advertising_agencies,QNST,1.7 - Buy,11.8,HIGH,6.79 - 18.18,54579000.0,6.79,18.18,284353.0,409360.0,432360.0,644032192.0,4.068,"QuinStreet, Inc."
